id,pkg,func
1550,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).UnsetPaddingLeft
16,golang.org/x/term,(*golang.org/x/term.Terminal).ReadLine
793,shared,(*time.Time).Nanosecond
824,shared,(*go/types.TypeName).Type
908,github.com/picatz/taint,github.com/picatz/taint.isExpressionDerivedFromSource
1077,shared,(*go/types.Const).Pkg
1121,github.com/muesli/termenv,(github.com/muesli/termenv.Output).HideCursor
1160,shared,(*time.Duration).Seconds
1231,time,(time.Time).locabs
349,flag,(*flag.FlagSet).BoolVar
426,golang.org/x/tools/go/ssa,(*golang.org/x/tools/go/ssa.anInstruction).Parent
486,shared,(*time.Time).Second
646,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetPaddingTop
855,shared,(*golang.org/x/tools/go/ssa.FieldAddr).setNum
911,shared,(*go/types.Var).Id
919,strings,strings.Index
1277,shared,(*math/big.nat).bytes
688,go/types,(*go/types.Signature).String
856,golang.org/x/tools/go/ssa,(*golang.org/x/tools/go/ssa.register).setNum
1066,shared,(*github.com/charmbracelet/lipgloss.AdaptiveColor).RGBA
1301,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).BorderRight
1349,net/url,(net/url.Values).Encode
1457,shared,(interface{Flush() error}).Flush
1489,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.props).has
1497,shared,(*go/types.TypeName).Exported
27,shared,(go/types.Object).Exported
224,golang.org/x/tools/go/ssa,(*golang.org/x/tools/go/ssa.anInstruction).Block
338,shared,(*crypto.Hash).Size
365,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).MarginBackground
608,github.com/picatz/taint/callgraphutil,(github.com/picatz/taint/callgraphutil.MatchStrategy).String
1310,shared,(*github.com/muesli/termenv.Output).EnableMousePress
1543,shared,(*go/types.goVersion).cmp
1572,shared,(*time.Duration).Hours
624,github.com/go-git/go-git/v5,github.com/go-git/go-git/v5.PlainCloneContext
761,shared,(*go/types.Const).setType
762,shared,(*go/types.Func).Pos
791,shared,(*github.com/charmbracelet/lipgloss.Style).Height
1014,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.AdaptiveColor).color
1541,shared,(*time.Time).Compare
1567,shared,(*time.absDays).weekday
46,shared,(*go/types.Const).Parent
228,shared,(*github.com/charmbracelet/lipgloss.Style).getAsInt
420,github.com/picatz/taint/callgraphutil,github.com/picatz/taint/callgraphutil.PathsSearchCallTo$1
904,shared,(*time.absSeconds).clock
1306,shared,(*github.com/charmbracelet/lipgloss.Style).GetMaxHeight
1344,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetMarginLeft
1384,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).AlignHorizontal
159,golang.org/x/tools/go/analysis/singlechecker,golang.org/x/tools/go/analysis/singlechecker.init
351,shared,(*time.absCentury).year
419,github.com/picatz/taint/callgraphutil,github.com/picatz/taint/callgraphutil.PathsSearch
466,shared,(*math/big.nat).expNNMontgomeryEven
967,shared,(*github.com/charmbracelet/lipgloss.Style).Strikethrough
1037,shared,(*go/types.termlist).includes
1074,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).MaxWidth
1452,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetHeight
183,github.com/picatz/taint/callgraphutil,github.com/picatz/taint/callgraphutil.findFunctionInField
248,shared,(*go/types.PkgName).Exported
301,strings,(*strings.Builder).String
343,shared,(io.Reader).Read
743,shared,(*github.com/charmbracelet/lipgloss.Style).GetPaddingTop
1002,net/textproto,(net/textproto.MIMEHeader).Values
1093,github.com/muesli/termenv,(github.com/muesli/termenv.Output).foregroundColor
1355,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).GetBorderTopWidth
214,golang.org/x/tools/go/analysis,(*golang.org/x/tools/go/analysis.Pass).Reportf
307,math/big,(math/big.nat).montgomery
330,github.com/picatz/taint/cmd/taint,github.com/picatz/taint/cmd/taint.init$2$4
117,github.com/picatz/taint/xss,github.com/picatz/taint/xss.init
151,flag,(*flag.FlagSet).Args
469,net/http,(net/http.Header).Set
607,shared,(*github.com/picatz/taint/callgraphutil.MatchStrategy).String
659,context,context.Background
807,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetBorderLeft
915,time,(time.Duration).Milliseconds
1524,sort,sort.SliceStable
72,go/ast,go/ast.init
308,shared,(*crypto.Hash).HashFunc
1047,net,(net.IP).IsLinkLocalMulticast
1099,path/filepath,path/filepath.Base
1182,shared,(*github.com/charmbracelet/lipgloss.Style).MarginLeft
1286,time,(time.Time).ISOWeek
84,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).GetStrikethroughSpaces
99,path,path.init
103,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetBorderLeftForeground
542,shared,(error).Error
696,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).GetBorderStyle
710,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetItalic
1008,shared,(github.com/muesli/termenv.Output).Color
1523,github.com/picatz/taint/cmd/taint,github.com/picatz/taint/cmd/taint.init$6
7,shared,(*github.com/muesli/termenv.Output).RestoreScreen
14,github.com/picatz/taint/cmd/taint,(github.com/picatz/taint/cmd/taint.commands).help
231,go/types,(*go/types.Package).Imports
622,os,os.TempDir
701,shared,(*crypto/x509.SignatureAlgorithm).String
778,time,(time.Time).Clock
833,shared,(*math/big.nat).and
1395,github.com/muesli/termenv,(github.com/muesli/termenv.Style).Reverse
